Step 649, time 0.5675, Loss 5.4896
Step 650, time 0.5768, Loss 6.4764
Step 651, time 0.5688, Loss 5.8014
Step 652, time 0.5748, Loss 7.3390
Step 653, time 0.5784, Loss 6.5624
Step 654, time 0.5772, Loss 7.6458
Step 655, time 0.5845, Loss 5.8295
Step 656, time 0.5812, Loss 6.1704
Step 657, time 0.5780, Loss 6.0715
Step 658, time 0.5696, Loss 5.9013
Step 659, time 0.5739, Loss 5.8418
Step 660, time 0.5703, Loss 6.1034
Step 661, time 0.5772, Loss 5.6153
Step 662, time 0.5699, Loss 6.0358
Step 663, time 0.5810, Loss 6.1252
Step 664, time 0.5778, Loss 6.2065
Step 665, time 0.5720, Loss 6.0425
Step 666, time 0.5686, Loss 6.0366
Step 667, time 0.5679, Loss 5.3371
Step 668, time 0.5719, Loss 5.8887
Step 669, time 0.5570, Loss 6.5747
Step 670, time 0.5666, Loss 6.2703
